index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare,economy_fare_usd,business_fare_usd,first_fare_usd
6950,YYZ,DXB,14:30:00,5,20:45:00,11:15:00,6,EK242,EK,Emirates,83822,,349435,1005.864,,4193.22
6951,YYZ,DXB,22:50:00,5,20:55:00,19:45:00,6,AC56,AC,Air Canada,88275,143175,411305,1059.3,1718.1,4935.66
6952,YYZ,DXB,22:55:00,3,20:55:00,19:50:00,4,AC56,AC,Air Canada,89365,234083,411305,1072.38,2808.996,4935.66
6953,YYZ,DXB,22:50:00,1,20:55:00,19:45:00,2,AC56,AC,Air Canada,100147,93995,473649,1201.764,1127.94,5683.788
6954,YYZ,DXB,14:30:00,6,20:45:00,11:15:00,0,EK242,EK,Emirates,109259,,350261,1311.108,,4203.132
6955,YYZ,DXB,14:30:00,4,20:45:00,11:15:00,5,EK242,EK,Emirates,121417,,421623,1457.004,,5059.476
6956,YYZ,LAX,8:00:00,5,2:04:00,10:04:00,5,UA8447,UA,United Airlines,36503,,,438.036,,
6957,YYZ,LAX,8:00:00,4,2:04:00,10:04:00,4,UA8447,UA,United Airlines,36503,,,438.036,,
6958,YYZ,LAX,8:00:00,5,2:04:00,10:04:00,5,AC787,AC,Air Canada,36503,137926,156657,438.036,1655.112,1879.884
6959,YYZ,LAX,8:00:00,4,2:04:00,10:04:00,4,AC787,AC,Air Canada,36503,110510,157638,438.036,1326.12,1891.656
6960,YYZ,LAX,16:55:00,6,2:19:00,19:14:00,6,AC791,AC,Air Canada,36503,,189337,438.036,,2272.044
6961,YYZ,LAX,8:00:00,6,2:04:00,10:04:00,6,AC787,AC,Air Canada,38239,137451,189337,458.868,1649.412,2272.044
6962,YYZ,LAX,10:35:00,3,2:15:00,12:50:00,3,WS1100,WS,WestJet,39990,69801,,479.88,837.612,
6963,YYZ,LAX,10:35:00,1,2:15:00,12:50:00,1,WS1100,WS,WestJet,39990,,,479.88,,
6964,YYZ,LAX,16:55:00,6,2:19:00,19:14:00,6,UA8019,UA,United Airlines,40232,,,482.784,,
6965,YYZ,LAX,8:00:00,6,2:04:00,10:04:00,6,UA8447,UA,United Airlines,41511,,,498.132,,
6966,YYZ,LAX,8:00:00,2,2:04:00,10:04:00,2,AC787,AC,Air Canada,43099,64687,159352,517.188,776.244,1912.224
6967,YYZ,LAX,8:00:00,2,2:04:00,10:04:00,2,UA8447,UA,United Airlines,43099,,,517.188,,
6968,YYZ,LAX,16:55:00,3,2:19:00,19:14:00,3,UA8019,UA,United Airlines,43099,,,517.188,,
6969,YYZ,LAX,16:55:00,3,2:19:00,19:14:00,3,AC791,AC,Air Canada,43099,85803,,517.188,1029.636,
6970,YYZ,LAX,16:55:00,2,2:19:00,19:14:00,2,AC791,AC,Air Canada,43099,,189997,517.188,,2279.964
6971,YYZ,LAX,16:55:00,2,2:19:00,19:14:00,2,UA8019,UA,United Airlines,43099,,,517.188,,
6972,YYZ,LAX,10:35:00,4,2:15:00,12:50:00,4,WS1100,WS,WestJet,43704,,,524.448,,
6973,YYZ,LAX,10:00:00,5,2:12:00,12:12:00,5,UA8337,UA,United Airlines,51230,,,614.76,,
6974,YYZ,LAX,20:20:00,6,2:12:00,22:32:00,6,AC795,AC,Air Canada,52685,,124531,632.22,,1494.372
6975,YYZ,LAX,8:00:00,3,2:04:00,10:04:00,3,AC787,AC,Air Canada,53635,90102,157724,643.62,1081.224,1892.688
6976,YYZ,LAX,8:00:00,1,2:04:00,10:04:00,1,AC787,AC,Air Canada,53635,,,643.62,,
6977,YYZ,LAX,8:00:00,0,2:04:00,10:04:00,0,AC787,AC,Air Canada,53635,137451,202565,643.62,1649.412,2430.78
6978,YYZ,LAX,10:00:00,4,2:12:00,12:12:00,4,AC789,AC,Air Canada,53635,,170375,643.62,,2044.5
6979,YYZ,LAX,20:20:00,5,2:12:00,22:32:00,5,AC795,AC,Air Canada,53635,,133453,643.62,,1601.436
6980,YYZ,LAX,10:00:00,1,2:12:00,12:12:00,1,AC789,AC,Air Canada,53635,,226349,643.62,,2716.188
6981,YYZ,ORD,7:00:00,2,0:51:00,7:51:00,2,UA1855,UA,United Airlines,13419,,,161.028,,
6982,YYZ,ORD,7:00:00,1,0:51:00,7:51:00,1,UA1855,UA,United Airlines,13419,,,161.028,,
6983,YYZ,ORD,7:00:00,3,0:51:00,7:51:00,3,UA1855,UA,United Airlines,13419,,,161.028,,
6984,YYZ,ORD,8:55:00,2,0:58:00,9:53:00,2,UA5832,UA,United Airlines,13419,,,161.028,,
6985,YYZ,ORD,11:05:00,2,0:58:00,12:03:00,2,UA4806,UA,United Airlines,13419,,,161.028,,
6986,YYZ,ORD,8:55:00,1,0:58:00,9:53:00,1,UA5832,UA,United Airlines,13419,,,161.028,,
6987,YYZ,ORD,12:14:00,3,0:46:00,13:00:00,3,AA6049,AA,American Airlines,13439,,,161.268,,
6988,YYZ,ORD,15:29:00,5,0:53:00,16:22:00,5,AA6139,AA,American Airlines,13439,,,161.268,,
6989,YYZ,ORD,6:30:00,5,0:55:00,7:25:00,5,AA1748,AA,American Airlines,13439,,,161.268,,
6990,YYZ,ORD,6:30:00,1,0:55:00,7:25:00,1,AA1748,AA,American Airlines,13439,,,161.268,,
6991,YYZ,ORD,6:30:00,2,0:55:00,7:25:00,2,AA1748,AA,American Airlines,13439,,,161.268,,
6992,YYZ,ORD,6:30:00,4,0:55:00,7:25:00,4,AA1748,AA,American Airlines,13439,,,161.268,,
6993,YYZ,ORD,6:30:00,0,0:55:00,7:25:00,0,AA1748,AA,American Airlines,13439,,,161.268,,
6994,YYZ,ORD,6:30:00,6,0:55:00,7:25:00,6,AA1748,AA,American Airlines,13439,,,161.268,,
6995,YYZ,ORD,6:30:00,3,0:55:00,7:25:00,3,AA1748,AA,American Airlines,13439,,,161.268,,
6996,YYZ,ORD,13:30:00,5,0:56:00,14:26:00,5,AA3604,AA,American Airlines,13439,,,161.268,,
6997,YYZ,ORD,18:30:00,5,1:00:00,19:30:00,5,AA3608,AA,American Airlines,13439,,,161.268,,
6998,YYZ,ORD,11:05:00,2,0:58:00,12:03:00,2,AC4408,AC,Air Canada,13441,,,161.292,,
6999,YYZ,ORD,12:14:00,0,0:46:00,13:00:00,0,AA6049,AA,American Airlines,15183,,,182.196,,
7000,YYZ,ORD,12:14:00,4,0:46:00,13:00:00,4,AA6049,AA,American Airlines,15183,,,182.196,,
7001,YYZ,ORD,12:14:00,2,0:46:00,13:00:00,2,AA6049,AA,American Airlines,15183,,,182.196,,
7002,YYZ,ORD,12:14:00,1,0:46:00,13:00:00,1,AA6049,AA,American Airlines,15183,,,182.196,,
